,name,link,site,zp
24,Разработка и поддержка различных подсистем основного сервиса на .NET. Разработка парсеров для источников данных и утилит для сбора и обработки...Опыт веб-разработки на платформе .NET (C#). Знание SQL.,https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/47754094?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,60 000 – 90 000 руб.
25,"...масштабируемое, высококачественное программное обеспечение. Разрабатывать адаптивный продуманный UI. Писать читаемый и легко поддерживаемый код. Делиться знаниями и обучать других разработчиков.Опыт работы с Python, Django и Django REST Framework. Опыт работы с SQL. Опыт работы с Javascript. Желание постоянно и...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/47971848?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,4 000 – 5 000 USD
26,"Разработка модулей и расширений продукта компании. Разработка и реализация алгоритмов слежения за производимой продукцией. Разработка модулей обмена информацией со смежными...Высшее образование (желательно профильное). Полная занятость. Опыт работы в аналогичной области приветствуется. Владение ПК - профессиональный уровень. Знание c#, ООП, основ...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/47910914?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 95 000 руб.
27,"Основная востребованность навыков – SQL. Rest api в рамках разработки мобильных приложений и web- версии личного кабинета. Интеграционные решения, агрегирующие информацию...Опыт разработки корпоративных приложений от 3 лет. Опыт работы в команде разработки от 3 лет. Знание С#.",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/47962128?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,200 000 – 300 000 руб.
28,Полная интеграция с ноля 1с црм в организацию (при существующей 1с и AMO CRM). Технический анализ экспортированных данных...Практический опыт разработки на 1С 8.3 от 3 лет и выше. Успешный опыт выполнения проекта интеграции 1С...,https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48165803?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,150 000 – 200 000 руб.
29,"Поддержка и реализация новых сервисов и модулей сайта. Поддержка API для мобильного приложения. Рефакторинг текущего кода.Опыт разработки на PHP 7.* и MySQL - от 3 лет. Знание JavaScript (jQuery), Ajax. Опыт работы с REST, SOAP. ",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/47849067?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 200 000 руб.
30,"Изучать бухгалтерский учёт и различные типовые конфигураций на платформе 1С. Выполнять несложные задачи (установка обновлений, форм регламентированной отчётности) с...От одного до четырех месяцев проходить обучение: основам программирования 1С. Высшее техническое или экономическое образование (в т.ч. ",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48006527?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 200 000 руб.
31,"Внесение правок на сайты. Доработка функционала существующих сайтов. Верстка сайтов.HTML5, CSS3, PHP, MySQL, JavaScript. Опыт разработки сайтов на популярных CMS - приветствуется.",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48176992?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,15 000 – 50 000 руб.
32,"Программирование и доработка конфигураций, адаптация 1С ERP. Консультирование сотрудников по работе в имеющихся конфигурациях.Высшее/среднее специальное образование. Опыт работы по специальности от 3х лет. Знание бухгалтерского учета и MS SQL Server будет...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48266970?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,100 000 – 150 000 руб.
33,"Высоконагруженные порталы (более 1 млн посетителей в сутки). Информационные системы (программно-аппаратные комплексы, API для сервисов, видеотрансляции, внутренние корпоративные порталы). Опыт разработки на Java от года. Опыт работы с СУБД PostgreSQL. Знание web-технологий: HTML, CSS, XML, JavaScript, AJAX. ",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48040222?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 120 000 руб.
34,"Доработка и создание нового функционала на платформе 1С 8.3. Тестирование собственных разработок. Сопровождение конфигурации УПП (только управленческий учет).Опыт программирования от 5 лет (понимание механизмов платформы, знание языка запросов, клиент-серверного взаимодействия, СКД, механизмов интеграции). Сертификат ""1С...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48172169?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,150 000 – 170 000 руб.
35,"Создание новых продуктов. Развитие существующих решений. Поддержка работоспособности существующего кода, рефакторинг.Высшее профильное образование. Опыт разработки в системах ЦФТ (ЦФТ-Банк, ЦФТ-Ритейл Банк). Знание архитектуры АБС ЦФТ или других российских...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48152194?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,170 000 – 250 000 руб.
36,"Программирование и доработка конфигураций, адаптация 1С ERP. Консультирование сотрудников по работе в имеющихся конфигурациях.Высшее/среднее специальное образование. Опыт работы по специальности от 3х лет. Знание бухгалтерского учета и MS SQL Server будет...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48266964?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,100 000 – 150 000 руб.
37,"Отличное владение Delphi версии XE2 и выше. Уверенное знание технологий ООП. Работа с пакетами DevExpress, FastReport. Навыки проектирования и...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/46941464?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,90 000 – 120 000 руб.
38,"Разработка программных решений компании на языке C для встраиваемых систем. Ведение отчётности и планирования работы с использованием средств управления проектом...Степень бакалавра в области микроэлектроники, информатики или смежных областей. Хороший навык чтения и письма на Английском языке. Не менее 6...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48092825?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 200 000 руб.
39,"Разработка программного обеспечения (C#, ASP.Net, JScript, Oracle, ...), поддержка существующих проектов и модернизация приложений. Работа в команде.Знание C#, SQL, JScript, html. Желателен опыт работы с web технологиями. Способность быстро осваивать новые технологии. Ждем Ваши резюме и...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/46053619?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,110 000 – 160 000 руб.
40,"Участие в создании нового информационного веб портала: разработка, тестирование, поддержка. Поддержка и развитие существующих программных решений Desktop/Mobile. Уверенные знания языка C# и .NET Framework/.NET Core. Понимание принципов ООП и желание писать хорошо структурированный и понятный код. ",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/47896617?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 120 000 руб.
